Number of commits: 125

NOTE: etcd was excluded because it doesn't compile due to grpc changes

Compilation time:
	* github.com/boltdb/bolt/cmd/bolt: from 616.387828ms to 608.214362ms, -1.33%
	* github.com/gogits/gogs: from 15.261902388s to 15.077212489s, -1.21%
	* github.com/spf13/hugo: from 7.572419367s to 7.442231971s, -1.72%
	* github.com/influxdata/influxdb/cmd/influxd: from 7.134895405s to 7.061516979s, -1.03%
	* github.com/nsqio/nsq/apps/nsqd: from 2.488679928s to 2.44750362s, -1.65%
	* github.com/mholt/caddy: from 5.572195354s to 5.444731663s, -2.29%

Binary size:
	* github.com/boltdb/bolt/cmd/bolt: from 2618526 to 2593283, -0.96%
	* github.com/gogits/gogs: from 23021534 to 22906574, -0.50%
	* github.com/spf13/hugo: from 14992636 to 14913467, -0.53%
	* github.com/influxdata/influxdb/cmd/influxd: from 15707782 to 15624774, -0.53%
	* github.com/nsqio/nsq/apps/nsqd: from 9845751 to 9796747, -0.50%
	* github.com/mholt/caddy: from 13283927 to 13227799, -0.42%

Bechmarks:
BenchmarkMsgpMarshal-4                   	10000000	       204 ns/op	     128 B/op	       1 allocs/op
BenchmarkMsgpUnmarshal-4                 	 3000000	       402 ns/op	     112 B/op	       3 allocs/op
BenchmarkVmihailencoMsgpackMarshal-4     	 1000000	      2091 ns/op	     352 B/op	       5 allocs/op
BenchmarkVmihailencoMsgpackUnmarshal-4   	 1000000	      1944 ns/op	     352 B/op	      13 allocs/op
BenchmarkJsonMarshal-4                   	  500000	      3450 ns/op	    1232 B/op	      10 allocs/op
BenchmarkJsonUnmarshal-4                 	  500000	      3603 ns/op	     416 B/op	       7 allocs/op
BenchmarkEasyJsonMarshal-4               	 1000000	      1478 ns/op	     784 B/op	       5 allocs/op
BenchmarkEasyJsonUnmarshal-4             	 1000000	      1495 ns/op	     160 B/op	       4 allocs/op
BenchmarkBsonMarshal-4                   	 1000000	      1563 ns/op	     392 B/op	      10 allocs/op
BenchmarkBsonUnmarshal-4                 	 1000000	      2051 ns/op	     248 B/op	      21 allocs/op
BenchmarkGobMarshal-4                    	 1000000	      1072 ns/op	      48 B/op	       2 allocs/op
BenchmarkGobUnmarshal-4                  	 1000000	      1121 ns/op	     112 B/op	       3 allocs/op
BenchmarkXdrMarshal-4                    	 1000000	      1744 ns/op	     455 B/op	      20 allocs/op
BenchmarkXdrUnmarshal-4                  	 1000000	      1559 ns/op	     240 B/op	      11 allocs/op
BenchmarkUgorjiCodecMsgpackMarshal-4     	  500000	      3050 ns/op	    2752 B/op	       8 allocs/op
BenchmarkUgorjiCodecMsgpackUnmarshal-4   	  500000	      3329 ns/op	    3008 B/op	       6 allocs/op
BenchmarkUgorjiCodecBincMarshal-4        	  500000	      3095 ns/op	    2784 B/op	       8 allocs/op
BenchmarkUgorjiCodecBincUnmarshal-4      	  500000	      3589 ns/op	    3168 B/op	       9 allocs/op
BenchmarkSerealMarshal-4                 	  500000	      3481 ns/op	     912 B/op	      21 allocs/op
BenchmarkSerealUnmarshal-4               	  500000	      3664 ns/op	    1008 B/op	      34 allocs/op
BenchmarkBinaryMarshal-4                 	 1000000	      1591 ns/op	     256 B/op	      16 allocs/op
BenchmarkBinaryUnmarshal-4               	 1000000	      1824 ns/op	     335 B/op	      22 allocs/op
BenchmarkFlatbuffersMarshal-4            	 5000000	       365 ns/op	       0 B/op	       0 allocs/op
BenchmarkFlatBuffersUnmarshal-4          	 5000000	       305 ns/op	     112 B/op	       3 allocs/op
BenchmarkCapNProtoMarshal-4              	 3000000	       511 ns/op	      56 B/op	       2 allocs/op
BenchmarkCapNProtoUnmarshal-4            	 3000000	       507 ns/op	     200 B/op	       6 allocs/op
BenchmarkCapNProto2Marshal-4             	 1000000	      1207 ns/op	     244 B/op	       3 allocs/op
BenchmarkCapNProto2Unmarshal-4           	 1000000	      1209 ns/op	     320 B/op	       6 allocs/op
BenchmarkHproseMarshal-4                 	 1000000	      1111 ns/op	     473 B/op	       8 allocs/op
BenchmarkHproseUnmarshal-4               	 1000000	      1247 ns/op	     320 B/op	      10 allocs/op
BenchmarkProtobufMarshal-4               	 1000000	      1167 ns/op	     200 B/op	       7 allocs/op
BenchmarkProtobufUnmarshal-4             	 2000000	       773 ns/op	     192 B/op	      10 allocs/op
BenchmarkGoprotobufMarshal-4             	 2000000	       608 ns/op	     312 B/op	       4 allocs/op
BenchmarkGoprotobufUnmarshal-4           	 2000000	       868 ns/op	     432 B/op	       9 allocs/op
BenchmarkGogoprotobufMarshal-4           	10000000	       182 ns/op	      64 B/op	       1 allocs/op
BenchmarkGogoprotobufUnmarshal-4         	 5000000	       276 ns/op	      96 B/op	       3 allocs/op
BenchmarkGencodeMarshal-4                	10000000	       194 ns/op	      80 B/op	       2 allocs/op
BenchmarkGencodeUnmarshal-4              	 5000000	       244 ns/op	     112 B/op	       3 allocs/op
BenchmarkGencodeUnsafeMarshal-4          	10000000	       122 ns/op	      48 B/op	       1 allocs/op
BenchmarkGencodeUnsafeUnmarshal-4        	10000000	       205 ns/op	      96 B/op	       3 allocs/op
PASS
ok  	github.com/alecthomas/go_serialization_benchmarks	69.800s

benchmark                                  old ns/op     new ns/op     delta
    SprintfComplex-4          867ns ± 1%   784ns ± 1%  -9.47%  (p=0.000 n=24+23)
    SprintfBoolean-4         77.2ns ± 2%  76.0ns ± 2%  -1.63%  (p=0.000 n=25+25)
    SprintfHexString-4        212ns ± 2%   214ns ± 2%  +0.96%  (p=0.000 n=25+25)
    SprintfHexBytes-4         221ns ± 2%   218ns ± 1%  -1.42%  (p=0.000 n=25+24)
    SprintfBytes-4            423ns ± 3%   417ns ± 1%  -1.49%  (p=0.000 n=25+24)
    SprintfStringer-4         306ns ± 3%   298ns ± 3%  -2.57%  (p=0.000 n=24+25)
    SprintfStructure-4       1.00µs ± 2%  0.98µs ± 2%  -1.34%  (p=0.000 n=24+24)
    FprintInt-4               202ns ± 3%   197ns ± 2%  -2.04%  (p=0.000 n=25+25)
    FprintfBytes-4            186ns ± 2%   184ns ± 2%  -0.88%  (p=0.000 n=24+25)
    FprintIntNoAlloc-4        170ns ± 2%   166ns ± 2%  -2.26%  (p=0.000 n=24+25)
    
    Change-Id: I46e62bf8b6afa90a24f75b40f1d354b2084b910b
    Reviewed-on: https://go-review.googlesource.com/20984
    Run-TryBot: Rob Pike <r@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Rob Pike <r@golang.org>

commit 7f52b43954d75aa0c444d57b9d0eb7ff36eb3dd0
Author: Conrad Irwin <conrad.irwin@gmail.com>
Date:   Fri Feb 19 10:12:44 2016 -0800

    net/mail: allow utf-8 in ParseAddress
    
    The existing implementation correctly supported RFC 5322, this
    change adds support for UTF-8 while parsing as specified by
    RFC 6532. The serialization code is unchanged, so emails created
    by go remain compatible with very legacy systems.
    
    Fixes #14260
    
    Change-Id: Ib57e510f5834d273605e1892679f2df19ea931b1
    Reviewed-on: https://go-review.googlesource.com/19687
    Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Alexandre Cesaro <alexandre.cesaro@gmail.com>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 89a1f02834f1472cf307b222e14884ebd41086d3
Author: Ilya Tocar <ilya.tocar@intel.com>
Date:   Tue Apr 12 18:14:45 2016 +0300

    hash/adler32: Unroll loop for extra performance.
    
    name         old time/op    new time/op    delta
    Adler32KB-4     592ns ± 0%     447ns ± 0%  -24.49%  (p=0.000 n=19+20)
    
    name         old speed      new speed      delta
    Adler32KB-4  1.73GB/s ± 0%  2.29GB/s ± 0%  +32.41%  (p=0.000 n=20+20)
    
    Change-Id: I38990aa66ca4452a886200018a57c0bc3af30717
    Reviewed-on: https://go-review.googlesource.com/21880
    Reviewed-by: Keith Randall <khr@golang.org>
    Run-TryBot: Ilya Tocar <ilya.tocar@intel.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 8955745bfb9a3682e78b71fb8cb343abc4bd72a6
Author: Martin Möhrmann <martisch@uos.de>
Date:   Fri Apr 15 08:56:01 2016 +0200

    image/color: order color computation to match rgb
    
    The order of computation was switched unintentionally
    in https://go-review.googlesource.com/21910.
    
    Revert the order to first compute g then b.
    
    Change-Id: I8cedb5e45fbad2679246839f609bcac4f9052403
    Reviewed-on: https://go-review.googlesource.com/22016
    Reviewed-by: Nigel Tao <nigeltao@golang.org>

commit 0da4dbe2322eb3b6224df35ce3e9fc83f104762b
Author: Matthew Dempsky <mdempsky@google.com>
Date:   Thu Apr 14 19:09:36 2016 -0700

    all: remove unnecessary type conversions
    
    cmd and runtime were handled separately, and I'm intentionally skipped
    syscall. This is the rest of the standard library.
    
    CL generated mechanically with github.com/mdempsky/unconvert.
    
    Change-Id: I9e0eff886974dedc37adb93f602064b83e469122
    Reviewed-on: https://go-review.googlesource.com/22104
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    Run-TryBot: Matthew Dempsky <mdempsky@google.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 80e7dddffafa6c5eb8e98d642b87546eb8e445ab
Author: Nigel Tao <nigeltao@golang.org>
Date:   Fri Apr 15 16:29:43 2016 +1000

    compress/flate: fix a fmt.Fprintf style nit in a test.
    
    It's not a big deal (the for loop drops from 130-ish to 120-ish
    milliseconds for me) but it's not a big change either.
    
    Change-Id: I161a49caab5cae5a2b87866ed1dfb93627be8013
    Reviewed-on: https://go-review.googlesource.com/22110
    Reviewed-by: Klaus Post <klauspost@gmail.com>
    Reviewed-by: Nigel Tao <nigeltao@golang.org>

commit 106b9d391518fe382162559e1520a8af72564130
Author: Matthew Dempsky <mdempsky@google.com>
Date:   Thu Apr 14 19:44:55 2016 -0700

    cmd/internal/obj, cmd/link: random style cleanups
    
    Identified during review of golang.org/cl/22103.
    
    Change-Id: I86bab4cc17204df1e45deefdb0d0f9a8f6e17073
    Reviewed-on: https://go-review.googlesource.com/22106
    Run-TryBot: Matthew Dempsky <mdempsky@google.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 1441f76938bf61a2c8c2ed1a65082ddde0319633
Author: Matthew Dempsky <mdempsky@google.com>
Date:   Thu Apr 14 19:04:45 2016 -0700

    cmd: remove unnecessary type conversions
    
    CL generated mechanically with github.com/mdempsky/unconvert.
    
    Change-Id: Ic590315cbc7026163a1b3f8ea306ba35f1a53256
    Reviewed-on: https://go-review.googlesource.com/22103
    Run-TryBot: Matthew Dempsky <mdempsky@google.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Michael Hudson-Doyle <michael.hudson@canonical.com>

commit e7b96e1a1f1ead0d5def61f339e446c3afefa617
Author: Matthew Dempsky <mdempsky@google.com>
Date:   Thu Apr 14 18:51:18 2016 -0700

    cmd/internal/sys: cleanup documentation
    
    Expand description of ArchFamily, because it seems to be a common
    source of confusion.  Also, update InFamily's description to reflect
    current name.
    
    Change-Id: I66b7999aef64ab8fee39aec0f752ae4f3a08d36d
    Reviewed-on: https://go-review.googlesource.com/22102
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 1d214f7062e80bebb081cdfad2ceda3e5bd0de29
Author: Mikio Hara <mikioh.mikioh@gmail.com>
Date:   Wed Apr 13 06:19:53 2016 +0900

    net: cache IPv6 zone information for applications using IPv6 link-local address
    
    This change reduces the overhead of calling routing information per IPv6
    link-local datagram read by caching IPv6 addressing scope zone
    information.
    
    Fixes #15237.
    
    name                    old time/op    new time/op    delta
    UDP6LinkLocalUnicast-8    64.9µs ± 0%    18.6µs ± 0%  -71.30%
    
    name                    old alloc/op   new alloc/op   delta
    UDP6LinkLocalUnicast-8    11.2kB ± 0%     0.2kB ± 0%  -98.42%
    
    name                    old allocs/op  new allocs/op  delta
    UDP6LinkLocalUnicast-8       101 ± 0%         3 ± 0%  -97.03%
    
    Change-Id: I5ae2ef5058df1028bbb7f4ab32b13edfb330c3a7
    Reviewed-on: https://go-review.googlesource.com/21952
    Reviewed-by: Ian Lance Taylor <iant@golang.org>

commit 19db74566491dcbb4dc2ad0a92b98aa2c28dd8fe
Author: Mikio Hara <mikioh.mikioh@gmail.com>
Date:   Thu Apr 14 16:31:52 2016 +0900

    net: relax TestInterfaces and TestInterfaceAddrs for BSD variants
    
    Fixes #15249.
    
    Change-Id: I91fc3d6a2df294b21a67d085da6fe661827a850e
    Reviewed-on: https://go-review.googlesource.com/22079
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 77d374940e87935a2cc46a60591ec8213003e99a
Author: Todd Neal <todd@tneal.org>
Date:   Thu Apr 14 19:09:57 2016 -0400

    cmd/compile: speed up dom checking in cse
    
    Process a slice of equivalent values by setting replaced values to nil
    instead of removing them from the slice to eliminate copying.  Also take
    advantage of the entry number sort to break early once we reach a value
    in a block that is not dominated.
    
    For the code in issue #15112:
    
    Before:
    real    0m52.603s
    user    0m56.957s
    sys     0m1.213s
    
    After:
    real    0m22.048s
    user    0m26.445s
    sys     0m0.939s
    
    Updates #15112
    
    Change-Id: I06d9e1e1f1ad85d7fa196c5d51f0dc163907376d
    Reviewed-on: https://go-review.googlesource.com/22068
    Reviewed-by: David Chase <drchase@google.com>

commit d0e8d3a7ae2194b1753bc4e419d5f00aa2d5cb86
Author: Joe Tsai <joetsai@digital-static.net>
Date:   Sat Apr 2 16:47:51 2016 -0700

    compress/gzip: fix Reader to properly check FHCRC
    
    RFC 1952, section 3.2.3 says:
    >>>
    If FHCRC is set, a CRC16 for the gzip header is present,
    immediately before the compressed data. The CRC16 consists of the two
    least significant bytes of the CRC32 for all bytes of the
    gzip header up to and not including the CRC16.
    <<<
    
    Thus, instead of computing the CRC only over the first 10 bytes
    of the header, we compute it over the whole header (minus CRC16).
    
    Fixes #15070
    
    Change-Id: I55703fd30b535b12abeb5e3962d4da0a86ed615a
    Reviewed-on: https://go-review.googlesource.com/21466
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit d093a6269160cf94b7add76dc3e60e94d8afc44e
Author: Andrew Gerrand <adg@golang.org>
Date:   Thu Apr 14 12:12:11 2016 +1000

    doc: add classes to version tags in source install instructions
    
    This will allow us to mechanically substitute these strings
    using javascript (in a forthcoming change to x/tools/godoc).
    
    Updates #14371
    
    Change-Id: I96e876283060ffbc9f3eabaf55d6b880685453e1
    Reviewed-on: https://go-review.googlesource.com/22055
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 5c593a3227d97f5d2afa66a39b6dd8ea6ebf73f3
Author: Robert Griesemer <gri@golang.org>
Date:   Wed Apr 13 17:53:03 2016 -0700

    cmd/compile: first cut at exporting position info
    
    - position info for all exported globals, plus methods and fields
    - use delta-encoded line number info in most cases
    - canonicalize all strings: each filename appears only once,
      but will also compact other strings (names) to at most one
      occurence in encoding
    - positions not yet hooked up when reading in
    
    Also:
    - adjusted go/importer (gcimporter)
    - some refactoring for better symmetry
    
    Stats:
    - comparison of export data size w/o and w/ position info (bytes).
    - delta is increase in %
    - overall (see bottom of table): 14% increase
    - however, the current binary format decreased from
      the original binary format last week by 14%
    - compared to original textual format: 65% decrease
      (increase by 14% after decrease by 14% still leads
      to a decrease from original textual format)
    
    (caveat: we used the textual size from last week, assuming
    it has not changed - there may be a small error here).
    
    package				w/o pos	w/ pos	delta
    
    archive/tar			4234	4902	16%
    archive/zip			6387	7340	15%
    bufio				3106	3419	10%
    bytes				4362	4757	9%
    cmd/addr2line			27	70	159%
    cmd/api				12065	13590	13%
    cmd/asm				27	64	137%
    cmd/asm/internal/arch		9957	11529	16%
    cmd/asm/internal/asm		11788	13385	14%
    cmd/asm/internal/flags		239	311	30%
    cmd/asm/internal/lex		13415	15358	14%
    cmd/cgo				13064	15006	15%
    cmd/compile			27	67	148%
    cmd/compile/internal/amd64	461	869	89%
    cmd/compile/internal/arm	5963	7273	22%
    cmd/compile/internal/arm64	363	657	81%
    cmd/compile/internal/big	7186	8590	20%
    cmd/compile/internal/gc		48242	56234	17%
    cmd/compile/internal/mips64	367	666	81%
    cmd/compile/internal/ppc64	372	721	94%
    cmd/compile/internal/s390x	330	569	72%
    cmd/compile/internal/ssa	30464	35058	15%
    cmd/compile/internal/x86	429	770	79%
    cmd/cover			3984	4731	19%
    cmd/dist			74	154	108%
    cmd/doc				7272	8591	18%
    cmd/expdump			27	71	163%
    cmd/fix				342	419	23%
    cmd/go				8126	9520	17%
    cmd/gofmt			27	70	159%
    cmd/gofmt2			27	69	156%
    cmd/gofmt2/internal/format	702	856	22%
    cmd/gofmt2/internal/lexical	2954	3509	19%
    cmd/gofmt2/internal/parse	6185	7295	18%
    cmd/gofmt2/internal/syntax	3533	4738	34%
    cmd/gofmt2/internal/test	540	615	14%
    cmd/internal/bio		5395	6060	12%
    cmd/internal/gcprog		533	663	24%
    cmd/internal/goobj		1022	1277	25%
    cmd/internal/obj		10951	12825	17%
    cmd/internal/obj/arm		8612	9985	16%
    cmd/internal/obj/arm64		15814	17638	12%
    cmd/internal/obj/mips		10928	12487	14%
    cmd/internal/obj/ppc64		13576	15277	13%
    cmd/internal/obj/s390x		16513	18708	13%
    cmd/internal/obj/x86		21152	23482	11%
    cmd/internal/objfile		14442	16505	14%
    cmd/internal/pprof/commands	1663	1885	13%
    cmd/internal/pprof/driver	9517	10789	13%
    cmd/internal/pprof/fetch	7632	8635	13%
    cmd/internal/pprof/plugin	13150	14809	13%
    cmd/internal/pprof/profile	7004	8248	18%
    cmd/internal/pprof/report	7763	8942	15%
    cmd/internal/pprof/svg		1332	1534	15%
    cmd/internal/pprof/symbolizer	7376	8439	14%
    cmd/internal/pprof/symbolz	6970	7976	14%
    cmd/internal/pprof/tempfile	3645	4093	12%
    cmd/internal/sys		505	619	23%
    cmd/internal/unvendor/golang.org/x/arch/arm/armasm	73951	79188	7%
    cmd/internal/unvendor/golang.org/x/arch/x86/x86asm	10140	11738	16%
    cmd/link			27	64	137%
    cmd/link/internal/amd64		9317	11034	18%
    cmd/link/internal/arm		110	213	94%
    cmd/link/internal/arm64		112	219	96%
    cmd/link/internal/ld		53524	60149	12%
    cmd/link/internal/mips64	113	222	96%
    cmd/link/internal/ppc64		113	220	95%
    cmd/link/internal/s390x		112	219	96%
    cmd/link/internal/x86		110	212	93%
    cmd/nm				27	61	126%
    cmd/objdump			27	68	152%
    cmd/pack			4141	4688	13%
    cmd/pprof			27	67	148%
    cmd/trace			624	842	35%
    cmd/vet				11194	13140	17%
    cmd/vet/internal/whitelist	52	113	117%
    cmd/yacc			1141	1317	15%
    compress/bzip2			2101	2484	18%
    compress/flate			3619	4336	20%
    compress/gzip			6261	7111	14%
    compress/lzw			276	401	45%
    compress/zlib			3630	4158	15%
    container/heap			187	250	34%
    container/list			1370	1506	10%
    container/ring			466	546	17%
    context				3005	3338	11%
    crypto				728	856	18%
    crypto/aes			181	321	77%
    crypto/cipher			744	1163	56%
    crypto/des			220	320	45%
    crypto/dsa			4526	4990	10%
    crypto/ecdsa			5341	5982	12%
    crypto/elliptic			4969	5593	13%
    crypto/hmac			188	250	33%
    crypto/md5			560	706	26%
    crypto/rand			4218	4746	13%
    crypto/rc4			214	321	50%
    crypto/rsa			5648	6355	13%
    crypto/sha1			597	751	26%
    crypto/sha256			228	351	54%
    crypto/sha512			354	484	37%
    crypto/subtle			586	621	6%
    crypto/tls			20909	23438	12%
    crypto/x509			14862	16857	13%
    crypto/x509/pkix		8384	9278	11%
    database/sql			6721	7715	15%
    database/sql/driver		1243	1535	23%
    debug/dwarf			7867	9153	16%
    debug/elf			25479	28025	10%
    debug/gosym			1887	2267	20%
    debug/macho			7222	8846	22%
    debug/pe			6921	8081	17%
    debug/plan9obj			1084	1319	22%
    encoding			217	280	29%
    encoding/ascii85		587	722	23%
    encoding/asn1			1043	1268	22%
    encoding/base32			929	1112	20%
    encoding/base64			1166	1368	17%
    encoding/binary			2168	2410	11%
    encoding/csv			3761	4203	12%
    encoding/gob			11304	12936	14%
    encoding/hex			510	606	19%
    encoding/json			9965	11395	14%
    encoding/pem			202	266	32%
    encoding/xml			11817	13361	13%
    errors				126	170	35%
    expvar				930	1142	23%
    flag				5905	6519	10%
    fmt				1027	1190	16%
    go/ast				12910	15541	20%
    go/build			5460	6173	13%
    go/constant			1645	1816	10%
    go/doc				3107	3882	25%
    go/format			1416	1729	22%
    go/importer			1426	1668	17%
    go/internal/gccgoimporter	1624	2028	25%
    go/internal/gcimporter		2650	3095	17%
    go/parser			6220	7073	14%
    go/printer			1924	2306	20%
    go/scanner			3137	3602	15%
    go/token			3053	3474	14%
    go/types			21793	25561	17%
    hash				234	327	40%
    hash/adler32			465	553	19%
    hash/crc32			668	817	22%
    hash/crc64			630	727	15%
    hash/fnv			1413	1582	12%
    html				76	114	50%
    html/template			14382	16457	14%
    image				10248	11409	11%
    image/color			2247	2562	14%
    image/color/palette		107	169	58%
    image/draw			2313	2494	8%
    image/gif			3079	3450	12%
    image/internal/imageutil	3136	3456	10%
    image/jpeg			2349	2735	16%
    image/png			2404	2695	12%
    index/suffixarray		4978	5596	12%
    internal/race			225	278	24%
    internal/singleflight		551	697	26%
    internal/syscall/windows/sysdll	97	166	71%
    internal/testenv		4488	5052	13%
    internal/trace			1392	1680	21%
    io				2811	3318	18%
    io/ioutil			3988	4467	12%
    log				3532	3907	11%
    log/syslog			4247	4775	12%
    math				3021	4499	49%
    math/big			7250	8456	17%
    math/cmplx			1034	1617	56%
    math/rand			734	885	21%
    mime				1889	2194	16%
    mime/multipart			4313	4849	12%
    mime/quotedprintable		1758	1996	14%
    net				15686	18617	19%
    net/http			42182	47848	13%
    net/http/cgi			19496	21768	12%
    net/http/cookiejar		4615	5248	14%
    net/http/fcgi			17758	19771	11%
    net/http/httptest		26108	29350	12%
    net/http/httputil		20732	23286	12%
    net/http/internal		2195	2497	14%
    net/http/pprof			17596	19545	11%
    net/internal/socktest		1689	2153	27%
    net/mail			4328	4810	11%
    net/rpc				24328	27249	12%
    net/rpc/jsonrpc			11052	12438	13%
    net/smtp			17127	19174	12%
    net/textproto			3705	4329	17%
    net/url				1193	1371	15%
    os				8493	10113	19%
    os/exec				6625	7532	14%
    os/signal			137	236	72%
    os/user				529	761	44%
    path				295	372	26%
    path/filepath			3452	3952	14%
    reflect				5091	6028	18%
    regexp				4848	5585	15%
    regexp/syntax			2590	3076	19%
    runtime				8721	11598	33%
    runtime/cgo			17	17	0%
    runtime/debug			2721	3130	15%
    runtime/internal/atomic		569	704	24%
    runtime/internal/sys		1874	2318	24%
    runtime/pprof			478	582	22%
    runtime/race			18	18	0%
    runtime/trace			95	146	54%
    sort				1052	1215	15%
    strconv				1389	1667	20%
    strings				3372	3772	12%
    sync				946	1371	45%
    sync/atomic			962	1079	12%
    syscall				41574	45613	10%
    testing				6184	7243	17%
    testing/iotest			883	1116	26%
    testing/quick			4659	5443	17%
    text/scanner			2930	3269	12%
    text/tabwriter			2333	2607	12%
    text/template			13335	15274	15%
    text/template/parse		8270	9285	12%
    time				4687	5313	13%
    unicode				3831	4355	14%
    unicode/utf16			530	584	10%
    unicode/utf8			872	946	8%
    vendor/golang.org/x/net/http2/hpack	3386	3970	17%
    
    				1295440	1481566	14%
    orig. textual			4253585	1481566	-65%
    orig. binary			1724071	1481566 -14%
    
    Change-Id: I4177c6511cc57ebe5eb80c89bf3aefc83376ce86
    Reviewed-on: https://go-review.googlesource.com/22096
    Reviewed-by: Matthew Dempsky <mdempsky@google.com>

commit ac8127d7e6ead390bc44c89d47d16be587c3ac11
Author: Keith Randall <khr@golang.org>
Date:   Thu Apr 14 13:47:58 2016 -0700

    cmd/compile: fix register size for ODOTPTR result
    
    The result of ODOTPTR, as well as a bunch of other ops,
    should be the type of the result, not always a pointer type.
    
    This fixes an amd64p32 bug where we were incorrectly truncating
    a 64-bit slice index to 32 bits, and then barfing on a weird
    load-64-bits-but-then-truncate-to-32-bits op that doesn't exist.
    
    Fixes #15252
    
    Change-Id: Ie62f4315fffd79f233e5449324ccc0879f5ac343
    Reviewed-on: https://go-review.googlesource.com/22094
    Run-TryBot: Keith Randall <khr@golang.org>
    Reviewed-by: Josh Bleecher Snyder <josharian@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 7c7081f514c9ec4820a842f7ef07394df4d41bab
Author: Austin Clements <austin@google.com>
Date:   Wed Apr 13 15:12:32 2016 -0400

    sync/atomic: don't atomically write pointers twice
    
    sync/atomic.StorePointer (which is implemented in
    runtime/atomic_pointer.go) writes the pointer twice (through two
    completely different code paths, no less). Fix it to only write once.
    
    Change-Id: Id3b2aef9aa9081c2cf096833e001b93d3dd1f5da
    Reviewed-on: https://go-review.googlesource.com/21999
    Run-TryBot: Austin Clements <austin@google.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    Reviewed-by: Michael Matloob <matloob@golang.org>
    Reviewed-by: Rick Hudson <rlh@golang.org>

commit 8f6c35de2f7c972a4f34efddd21281b7060c4457
Author: Austin Clements <austin@google.com>
Date:   Wed Apr 13 15:06:01 2016 -0400

    runtime: make sync_atomic_SwapPointer signature match sync/atomic
    
    SwapPointer is declared as
    
      func SwapPointer(addr *unsafe.Pointer, new unsafe.Pointer) (old unsafe.Pointer)
    
    in sync/atomic, but defined in the runtime (where it's actually
    implemented) as
    
      func sync_atomic_SwapPointer(ptr unsafe.Pointer, new unsafe.Pointer) unsafe.Pointer
    
    Make ptr a *unsafe.Pointer in the runtime definition to match the type
    in sync/atomic.
    
    Change-Id: I99bab651b995001bbe54f9e790fdef2417ef0e9e
    Reviewed-on: https://go-review.googlesource.com/21998
    Run-TryBot: Austin Clements <austin@google.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    Reviewed-by: Michael Matloob <matloob@golang.org>

commit 98b6febcef8f6d7411a77e9e828df681871a28ad
Author: Keith Randall <khr@golang.org>
Date:   Thu Apr 14 10:28:35 2016 -0700

    runtime/internal/sys: better fallback algorithms for intrinsics
    
    Use deBruijn sequences to count low-order zeros.
    Reorg bswap to not use &^, it takes another instruction on x86.
    
    Change-Id: I4a5ed9fd16ee6a279d88c067e8a2ba11de821156
    Reviewed-on: https://go-review.googlesource.com/22084
    Reviewed-by: David Chase <drchase@google.com>

commit 12e3b184f0fe15787be7f0837d2b168a4fbe60be
Author: Michael Hudson-Doyle <michael.hudson@canonical.com>
Date:   Fri Apr 8 15:06:04 2016 +1200

    cmd/go: deduplicate gccgo afiles by package path, not *Package
    
    This code was fixed a while ago to ensure that xtest and fake packages came
    first on the link line, but golang.org/cl/16775 added --whole-archive ...
    --no-whole-archive around all the .a files and rendered this fix useless.
    
    So, take a different approach and only put one .a file on the linker command
    line for each ImportPath we see while traversing the action graph, not for each
    *Package we see. The way we walk the graph ensures that we'll see the .a files
    that need to be first first.
    
    Change-Id: I137f00f129ccc9fc99f40eee885cc04cc358a62e
    Reviewed-on: https://go-review.googlesource.com/21692
    Reviewed-by: Ian Lance Taylor <iant@golang.org>

commit e5463f5055d590046a451a115ceac7b58b3f825f
Author: Michael Hudson-Doyle <michael.hudson@canonical.com>
Date:   Thu Jan 21 14:53:55 2016 +1300

    cmd/go: fix "#cgo pkg-config:" comments with gccgo
    
    The unique difficulty of #cgo pkg-config is that the linker flags are recorded
    when the package is compiled but (obviously) must be used when the package is
